Frame	Joint Torques (Nm)	Angles (rad)	End Effector Position (m)
212	0.00, -21.59, -9.34, 0.25, 0.00	-0.31, -0.05, -0.16, -0.05, -0.05	0.92, -0.30, -0.13
213	0.00, -21.51, -9.27, 0.28, 0.00	-0.35, -0.06, -0.17, -0.06, -0.06	0.90, -0.32, -0.14
214	0.00, -21.44, -9.20, 0.30, 0.00	-0.38, -0.06, -0.19, -0.06, -0.06	0.89, -0.35, -0.15
215	0.00, -21.36, -9.12, 0.33, 0.00	-0.41, -0.07, -0.20, -0.07, -0.07	0.87, -0.38, -0.16
216	0.00, -21.27, -9.04, 0.35, 0.00	-0.44, -0.07, -0.22, -0.07, -0.07	0.85, -0.40, -0.17
217	0.00, -21.18, -8.95, 0.38, 0.00	-0.47, -0.08, -0.24, -0.08, -0.08	0.83, -0.42, -0.19
218	0.00, -21.08, -8.87, 0.40, 0.00	-0.50, -0.08, -0.25, -0.08, -0.08	0.81, -0.45, -0.20
219	0.00, -20.99, -8.77, 0.42, 0.00	-0.53, -0.09, -0.27, -0.09, -0.09	0.79, -0.47, -0.21
220	0.00, -20.88, -8.68, 0.45, 0.00	-0.57, -0.09, -0.28, -0.09, -0.09	0.77, -0.49, -0.22
221	0.00, -20.78, -8.58, 0.47, 0.00	-0.60, -0.10, -0.30, -0.10, -0.10	0.75, -0.51, -0.23
222	0.00, -20.67, -8.47, 0.49, 0.00	-0.63, -0.10, -0.31, -0.10, -0.10	0.73, -0.53, -0.24
223	0.00, -20.55, -8.36, 0.51, 0.00	-0.66, -0.11, -0.33, -0.11, -0.11	0.71, -0.55, -0.25
224	0.00, -20.43, -8.25, 0.53, 0.00	-0.69, -0.12, -0.35, -0.12, -0.12	0.69, -0.57, -0.26
225	0.00, -20.31, -8.14, 0.56, 0.00	-0.72, -0.12, -0.36, -0.12, -0.12	0.66, -0.58, -0.27
226	0.00, -20.19, -8.02, 0.58, 0.00	-0.75, -0.13, -0.38, -0.13, -0.13	0.64, -0.60, -0.28
227	0.00, -20.06, -7.90, 0.60, 0.00	-0.79, -0.13, -0.39, -0.13, -0.13	0.61, -0.61, -0.29
228	0.00, -19.92, -7.77, 0.62, 0.00	-0.82, -0.14, -0.41, -0.14, -0.14	0.59, -0.63, -0.30
229	0.00, -19.79, -7.65, 0.64, 0.00	-0.85, -0.14, -0.42, -0.14, -0.14	0.56, -0.64, -0.31
230	0.00, -19.65, -7.51, 0.66, 0.00	-0.88, -0.15, -0.44, -0.15, -0.15	0.54, -0.65, -0.32
231	0.00, -19.50, -7.38, 0.68, 0.00	-0.91, -0.15, -0.46, -0.15, -0.15	0.51, -0.66, -0.33
232	0.00, -19.35, -7.24, 0.69, 0.00	-0.94, -0.16, -0.47, -0.16, -0.16	0.49, -0.67, -0.34
233	0.00, -19.20, -7.10, 0.71, 0.00	-0.97, -0.16, -0.49, -0.16, -0.16	0.46, -0.68, -0.35
