Frame	Joint Torques (Nm)	Angles (rad)	End Effector Position (m)
217	0.00, -22.00, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
218	0.00, -21.99, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
219	0.00, -21.99, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
220	0.00, -21.98, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
221	0.00, -21.98, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
222	0.00, -21.97, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
223	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.11, 0.00	0.99, 0.00, 0.00
224	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
225	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
226	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
227	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
228	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
229	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
230	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.99, 0.00, 0.00
231	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.98, 0.00, 0.00
232	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
233	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
234	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
235	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
236	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
237	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
238	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
239	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
240	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
241	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
242	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
243	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
244	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.22, 0.00	0.98, 0.00, 0.00
245	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
246	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
247	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
248	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
249	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
250	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
251	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
252	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
253	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
254	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
255	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
256	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
257	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
258	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
259	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
260	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
261	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
262	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
263	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
264	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
265	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.33, 0.00	0.97, 0.00, 0.01
266	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
267	0.00, -21.75, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
268	0.00, -21.74, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
269	0.00, -21.74, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
270	0.00, -21.73, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.97, 0.00, 0.01
271	0.00, -21.73, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.96, 0.00, 0.01
272	0.00, -21.72, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
273	0.00, -21.72, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
274	0.00, -21.71, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
275	0.00, -21.71, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
276	0.00, -21.70, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
277	0.00, -21.70, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
278	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
279	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
280	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
281	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
282	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
283	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
284	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
285	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
286	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.44, 0.00	0.96, 0.00, 0.01
287	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
288	0.00, -21.65, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
289	0.00, -21.64, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
290	0.00, -21.64, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
291	0.00, -21.63, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.96, 0.00, 0.01
292	0.00, -21.63, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.95, 0.00, 0.01
293	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
294	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
295	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
296	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
297	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
298	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
299	0.00, -21.60, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
300	0.00, -21.59, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
301	0.00, -21.59, -9.32, 0.49, 0.00	0.00, 0.00, 0.00, -0.52, 0.00	0.95, 0.00, 0.01
302	0.00, -21.58, -9.32, 0.49, 0.00	0.00, 0.00, 0.00, -0.52, 0.00	0.95, 0.00, 0.01
303	0.00, -21.59, -9.32, 0.49, 0.00	0.00, 0.00, 0.00, -0.52, 0.00	0.95, 0.00, 0.01
304	0.00, -21.59, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
305	0.00, -21.60, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
306	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
307	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
308	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
309	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
310	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
311	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
312	0.00, -21.63, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.95, 0.00, 0.01
313	0.00, -21.63, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.96, 0.00, 0.01
314	0.00, -21.64, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
315	0.00, -21.64, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
316	0.00, -21.65, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
317	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
318	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.44, 0.00	0.96, 0.00, 0.01
319	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
320	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
321	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
322	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
323	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
324	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
325	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
326	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
327	0.00, -21.70, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
328	0.00, -21.70, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
329	0.00, -21.71, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
330	0.00, -21.71, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
331	0.00, -21.72, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
332	0.00, -21.72, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
333	0.00, -21.73, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.96, 0.00, 0.01
334	0.00, -21.73, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.97, 0.00, 0.01
335	0.00, -21.74, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
336	0.00, -21.74, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
337	0.00, -21.75, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
338	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
339	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.33, 0.00	0.97, 0.00, 0.01
340	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
341	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
342	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
343	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
344	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
345	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
346	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
347	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
348	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
349	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
350	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
351	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
352	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
353	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
354	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
355	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
356	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
357	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
358	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
359	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
360	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.22, 0.00	0.98, 0.00, 0.00
361	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
362	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
363	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
364	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
365	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
366	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
367	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
368	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
369	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
370	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
371	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
372	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
373	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.98, 0.00, 0.00
374	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.99, 0.00, 0.00
375	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
376	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
377	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
378	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
379	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
380	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
381	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.11, 0.00	0.99, 0.00, 0.00
382	0.00, -21.97, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
383	0.00, -21.98, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
384	0.00, -21.98, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
385	0.00, -21.99, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
386	0.00, -21.99, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
387	0.00, -22.00, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
388	0.00, -22.00, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
389	0.00, -22.01, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
390	0.00, -22.01, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
391	0.00, -22.02, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
392	0.00, -22.02, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	0.99, 0.00, 0.00
393	0.00, -22.03, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	1.00, 0.00, 0.00
394	0.00, -22.03, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
395	0.00, -22.04, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
396	0.00, -22.04, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
397	0.00, -22.05, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
398	0.00, -22.05, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
399	0.00, -22.06, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
400	0.00, -22.06, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
401	0.00, -22.07, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
